Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 18:08:00,1.20799,1.20841,1.2079,1.20824,3440.1
2003.12.02 18:09:00,1.20832,1.20903,1.2082,1.2088,1117.6
2003.12.02 18:10:00,1.20858,1.20878,1.20833,1.2085,1343.9
2003.12.02 18:11:00,1.20845,1.20861,1.20831,1.20855,815.4
2003.12.02 18:12:00,1.20863,1.20863,1.2082,1.20828,2762.7
2003.12.02 18:13:00,1.20825,1.20848,1.20811,1.20832,1507.4
2003.12.02 18:14:00,1.20828,1.20851,1.20825,1.20838,1287
2003.12.02 18:15:00,1.20835,1.20851,1.20814,1.20832,3294.4
2003.12.02 18:16:00,1.20827,1.20859,1.20817,1.20845,1972.3
2003.12.02 18:17:00,1.20839,1.20876,1.20827,1.20851,735.7
2003.12.02 18:18:00,1.2084,1.20865,1.20829,1.20835,543
2003.12.02 18:19:00,1.2084,1.20877,1.2084,1.20865,1186.6
2003.12.02 18:20:00,1.20835,1.20859,1.20819,1.20819,1718
2003.12.02 18:21:00,1.20827,1.20847,1.20815,1.20835,881.3
2003.12.02 18:22:00,1.20839,1.20846,1.20811,1.20812,436.8
2003.12.02 18:23:00,1.20811,1.20833,1.20795,1.20811,1667.8
2003.12.02 18:24:00,1.20804,1.2083,1.20794,1.20804,1025.6
2003.12.02 18:25:00,1.20804,1.20833,1.20801,1.20806,590.4
2003.12.02 18:26:00,1.20815,1.20826,1.20799,1.208,859.1
2003.12.02 18:27:00,1.20808,1.20833,1.20808,1.20809,2151.8
2003.12.02 18:28:00,1.20809,1.20853,1.20807,1.20845,3343.3
2003.12.02 18:29:00,1.20814,1.20828,1.20807,1.20825,1984.8
2003.12.02 18:30:00,1.2083,1.20861,1.20819,1.20839,8960.7
2003.12.02 18:31:00,1.20838,1.20879,1.20838,1.2086,4104.6
2003.12.02 18:32:00,1.20835,1.20855,1.20822,1.20837,5871.1
2003.12.02 18:33:00,1.20853,1.2086,1.20829,1.20845,2432.4
2003.12.02 18:34:00,1.20838,1.20852,1.2081,1.20835,2904.8
2003.12.02 18:35:00,1.20844,1.20877,1.20831,1.20861,2346.1
2003.12.02 18:36:00,1.20844,1.20858,1.20818,1.2085,1347.1
2003.12.02 18:37:00,1.20839,1.20858,1.20824,1.20828,2268.4
2003.12.02 18:38:00,1.20831,1.2085,1.20786,1.20804,4233.1
2003.12.02 18:39:00,1.20802,1.2082,1.20785,1.20806,3774
2003.12.02 18:40:00,1.20808,1.20837,1.20783,1.20802,1635.2
2003.12.02 18:41:00,1.20798,1.20821,1.20781,1.20781,2175.4
2003.12.02 18:42:00,1.20781,1.20797,1.20772,1.20785,687.7
2003.12.02 18:43:00,1.20768,1.20803,1.20745,1.20747,2319.5
2003.12.02 18:44:00,1.20736,1.20786,1.20731,1.20746,3355.3
2003.12.02 18:45:00,1.20757,1.2078,1.20726,1.20747,3080
2003.12.02 18:46:00,1.20738,1.2076,1.20709,1.2072,1371.7
2003.12.02 18:47:00,1.20716,1.20742,1.20691,1.2073,2838.2
2003.12.02 18:48:00,1.2074,1.20759,1.20727,1.20743,3292.6
2003.12.02 18:49:00,1.20745,1.20764,1.20701,1.20711,2022.3
2003.12.02 18:50:00,1.20711,1.20747,1.20711,1.2074,6092.4
2003.12.02 18:51:00,1.20727,1.20745,1.20717,1.20732,1471.9
2003.12.02 18:52:00,1.20714,1.20735,1.20671,1.20713,2256.4
2003.12.02 18:53:00,1.20705,1.20727,1.20691,1.20708,5767.6
2003.12.02 18:54:00,1.20714,1.20742,1.20709,1.20709,2941.2
2003.12.02 18:55:00,1.20711,1.20737,1.20699,1.20714,4140.9
2003.12.02 18:56:00,1.20698,1.20737,1.20697,1.20737,4867.5
2003.12.02 18:57:00,1.20721,1.2074,1.20709,1.2072,4980.7
2003.12.02 18:58:00,1.2073,1.20734,1.20696,1.20723,5741.5
2003.12.02 18:59:00,1.20723,1.2073,1.207,1.20703,4268.8
2003.12.02 19:00:00,1.20699,1.2073,1.20688,1.20706,4944.1
2003.12.02 19:01:00,1.20705,1.20735,1.20705,1.20726,3590.3
2003.12.02 19:02:00,1.20702,1.20758,1.20695,1.20733,3163.1
2003.12.02 19:03:00,1.20722,1.20752,1.20708,1.20732,2665.8
2003.12.02 19:04:00,1.20741,1.20778,1.20733,1.20747,1411.1
2003.12.02 19:05:00,1.20731,1.20747,1.20691,1.20733,1583.7
2003.12.02 19:06:00,1.20725,1.20743,1.20705,1.20733,1107.5
2003.12.02 19:07:00,1.20733,1.20755,1.20726,1.20729,1717
2003.12.02 19:08:00,1.20733,1.20749,1.20713,1.20723,780
2003.12.02 19:09:00,1.20737,1.20747,1.20729,1.20742,1161.5
2003.12.02 19:10:00,1.20739,1.20767,1.20722,1.20737,888.2
2003.12.02 19:11:00,1.20736,1.20763,1.20724,1.20737,1844.3
2003.12.02 19:12:00,1.20735,1.20756,1.20726,1.20735,1575.3
2003.12.02 19:13:00,1.20742,1.20767,1.20731,1.20736,2465.5
2003.12.02 19:14:00,1.20737,1.20755,1.20707,1.20755,2626.8
2003.12.02 19:15:00,1.20718,1.20748,1.2071,1.20724,1579.3
2003.12.02 19:16:00,1.20726,1.20745,1.20699,1.2071,1341.1
2003.12.02 19:17:00,1.20709,1.20729,1.20687,1.20707,2793.4
2003.12.02 19:18:00,1.20708,1.20742,1.20708,1.20728,533.4
2003.12.02 19:19:00,1.20727,1.20754,1.20719,1.20719,1934.1
2003.12.02 19:20:00,1.20734,1.20766,1.20719,1.20719,4187.7
2003.12.02 19:21:00,1.20732,1.20776,1.20732,1.20753,2837.8
